description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Connecticut : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,12,17,25,40,106,138,214,265,413,421,476,758
Connecticut : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Connecticut : geothermal,thousand megawatthours,ELEC.GEN.GEO-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Connecticut : biomass,thousand megawatthours,ELEC.GEN.BIO-CT-99.A,909,821,786,758,753,763,730,734,759,740,660,667,652,757,787,856,792,756,749,782,757,514,591,551,591
Connecticut : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-CT-99.A,--,--,0,5,7,9,2,2,1,0,1,1,4,107,190,237,208,261,268,292,283,105,233,198,228
Connecticut : other biomass,thousand megawatthours,ELEC.GEN.WAS-CT-99.A,909,821,786,752,746,755,728,732,758,739,659,666,648,650,598,619,584,495,481,490,474,409,358,353,363
Connecticut : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-CT-99.A,0,-10,0,8,-2,0,-15,7,5,9,6,3,-1,7,-4,6,2,3,2,1,0,1,5,5,-2
Connecticut : other,thousand megawatthours,ELEC.GEN.OTH-CT-99.A,869,804,792,763,740,739,726,710,713,717,705,756,711,605,556,577,547,465,578,591,571,492,429,424,437
Connecticut : all solar,thousand megawatthours,ELEC.GEN.TSN-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,138,216,344,447,605,738,949,1129,1470,1659,1935,2505
Connecticut : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,126,199,320,407,500,600,735,863,1057,1238,1458,1747
Connecticut : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,12,17,25,40,106,138,214,265,413,421,476,758
Connecticut : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,12,17,25,40,106,138,214,265,413,421,476,758
Connecticut : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Maine : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-ME-99.A,19565,22535,18972,19099,18844,16816,16129,17095,16350,17019,15974,15048,14030,13249,11741,11514,11264,11281,10491,10002,10908,12764,12512,14655,14833
Maine : coal,thousand megawatthours,ELEC.GEN.COW-ME-99.A,528,604,377,359,320,321,376,352,72,87,55,45,63,79,92,70,68,71,71,55,50,42,43,29,32
Maine : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-ME-99.A,2102,1229,1920,1312,1621,595,818,533,433,272,178,108,239,305,548,110,132,189,35,37,32,274,67,60,167
Maine : petroleum coke,thousand megawatthours,ELEC.GEN.PC-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : natural gas,thousand megawatthours,ELEC.GEN.NG-ME-99.A,10053,13504,9439,9832,8398,7298,6675,7380,7355,8374,6877,6044,4873,4344,2952,3498,2237,2331,1797,1904,3348,4140,3975,6399,5565
Maine : other gases,thousand megawatthours,ELEC.GEN.OOG-ME-99.A,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : nuclear,thousand megawatthours,ELEC.GEN.NUC-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-ME-99.A,2645,2768,3173,3430,4091,4278,3738,4457,4212,3810,3979,3733,3560,3623,3361,3000,3389,3261,3499,3158,2541,3063,3832,2852,2639
Maine : other renewables,thousand megawatthours,ELEC.GEN.AOR-ME-99.A,3826,4044,3586,3598,4068,3968,4207,4058,3938,4152,4495,4665,4893,4492,4449,4455,5042,5058,4749,4517,4671,4963,4320,5035,6162
Maine : wind,thousand megawatthours,ELEC.GEN.WND-ME-99.A,--,--,--,--,--,--,99,132,299,499,707,887,1048,1097,1296,1667,2333,2384,2494,2395,2544,2716,2339,2446,2874
