description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Colorado : other,thousand megawatthours,ELEC.GEN.OTH-CO-99.A,0,0,--,--,0,0,41,33,53,70,63,55,46,47,52,53,57,59,60,59,55,48,25,-4,5
Colorado : all solar,thousand megawatthours,ELEC.GEN.TSN-CO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,606,643,999,1485,1653,1852,2204,2786,3772,5319,6974,7820
Colorado : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-CO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,353,391,461,531,590,633,701,1056,1372,1704,2035,2233
Colorado : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-CO-99.A,--,--,--,--,--,--,2,18,26,42,105,165,248,253,251,538,954,1062,1218,1504,1730,2400,3616,4939,5586
Colorado : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CO-99.A,--,--,--,--,--,--,2,18,26,42,105,165,248,253,251,538,954,1062,1218,1504,1730,2400,3616,4939,5586
Colorado : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-ID-99.A,9347,9787,10423,10863,10825,13386,11484,11971,13100,12025,16569,15499,15186,15184,15667,15661,17396,18172,18408,17686,16836,16278,17842,20035,20762
Idaho : coal,thousand megawatthours,ELEC.GEN.COW-ID-99.A,72,91,90,99,95,82,84,90,83,88,83,77,92,78,79,29,24,20,21,20,16,6,0,0,0
Idaho : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-ID-99.A,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho : petroleum coke,thousand megawatthours,ELEC.GEN.PC-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho : natural gas,thousand megawatthours,ELEC.GEN.NG-ID-99.A,1405,329,1375,1704,1597,1298,1657,1700,1644,1689,1111,1898,3392,2553,3804,3321,3079,3279,4267,4157,4935,4335,5686,6285,5706
Idaho : other gases,thousand megawatthours,ELEC.GEN.OOG-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho : nuclear,thousand megawatthours,ELEC.GEN.NUC-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-ID-99.A,7223,8769,8354,8462,8542,11242,9022,9363,10434,9154,13405,10940,8473,9002,8757,9033,10670,11024,10333,9508,7995,8360,8378,9150,9718
Idaho : other renewables,thousand megawatthours,ELEC.GEN.AOR-ID-99.A,533,508,541,560,560,690,653,748,867,1014,1892,2515,3152,3477,2947,3212,3554,3785,3721,3948,3828,3527,3706,4531,5311
Idaho : wind,thousand megawatthours,ELEC.GEN.WND-ID-99.A,--,--,--,--,--,170,172,207,313,441,1307,1891,2460,2806,2270,2578,2545,2655,2551,2771,2680,2442,2320,3016,3100
Idaho : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,459,556,557,566,565,533,854,1018,1621
Idaho : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,459,556,557,566,565,533,854,1018,1621
Idaho : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho : geothermal,thousand megawatthours,ELEC.GEN.GEO-ID-99.A,--,--,--,--,--,--,--,86,76,72,63,75,40,79,76,72,84,83,96,91,93,91,89,92,82
Idaho : biomass,thousand megawatthours,ELEC.GEN.BIO-ID-99.A,533,508,541,560,560,520,481,455,478,501,522,549,652,593,601,532,465,491,518,521,490,460,444,405,509
Idaho : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-ID-99.A,533,508,541,560,560,520,481,455,478,478,474,460,454,417,426,413,349,394,404,406,394,369,354,308,408
Idaho : other biomass,thousand megawatthours,ELEC.GEN.WAS-ID-99.A,--,--,--,--,--,--,--,--,0,24,48,90,198,175,175,118,117,96,113,115,96,91,90,97,101
Idaho : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho : other,thousand megawatthours,ELEC.GEN.OTH-ID-99.A,109,90,63,38,31,73,69,70,72,79,78,69,77,75,81,65,68,64,66,53,62,51,72,69,27
Idaho : all solar,thousand megawatthours,ELEC.GEN.TSN-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4,6,40,476,589,615,653,684,712,1092,1294,1931
Idaho : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4,6,10,16,33,58,87,119,179,238,276,310
Idaho : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,459,556,557,566,565,533,854,1018,1621
Idaho : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,459,556,557,566,565,533,854,1018,1621
Idaho : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Montana : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-MT-99.A,24232,25474,26269,26789,27939,28244,28931,29637,26713,29791,30129,27805,27687,30258,29302,27784,28221,28213,27797,23353,24948,27089,26896,26873,28503
Montana : coal,thousand megawatthours,ELEC.GEN.COW-MT-99.A,17036,15338,17049,17380,17823,17085,18357,18332,15611,18601,15056,13987,14880,15579,16013,14269,13864,13360,14101,8490,10876,11651,11553,9785,10024
Montana : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MT-99.A,1,14,15,22,17,22,16,16,13,13,18,13,15,26,14,17,13,17,16,10,9,11,10,19,13
Montana : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MT-99.A,497,456,388,417,398,397,463,404,478,395,443,454,448,403,483,443,445,429,449,447,442,454,481,375,455
Montana : natural gas,thousand megawatthours,ELEC.GEN.NG-MT-99.A,20,17,25,28,27,68,106,66,78,57,418,464,614,515,599,476,417,476,507,291,528,729,1002,995,1319
Montana : other gases,thousand megawatthours,ELEC.GEN.OOG-MT-99.A,--,19,20,23,15,11,19,6,1,2,0,0,0,0,17,9,14,12,10,12,13,4,10,5,3
Montana : nuclear,thousand megawatthours,ELEC.GEN.NUC-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MT-99.A,6613,9567,8702,8856,9587,10130,9364,10000,9506,9415,12596,11283,9638,11483,9888,10083,10946,11405,10005,10748,9258,9886,8792,9220,9791
Montana : other renewables,thousand megawatthours,ELEC.GEN.AOR-MT-99.A,65,63,71,62,72,530,607,704,916,1027,1265,1262,1760,1987,1986,2160,2190,2209,2423,3125,3538,4081,4825,6216,6638
Montana : wind,thousand megawatthours,ELEC.GEN.WND-MT-99.A,--,--,--,--,--,436,496,593,821,930,1265,1262,1755,1974,1965,2140,2155,2153,2373,3059,3473,4022,4557,5815,6252
Montana : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,34,29,33,33,32,240,366,348
Montana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,34,29,33,33,32,240,366,348
Montana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana : geothermal,thousand megawatthours,ELEC.GEN.GEO-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana : biomass,thousand megawatthours,ELEC.GEN.BIO-MT-99.A,65,63,71,62,72,94,111,111,95,97,--,--,5,13,21,20,21,21,20,33,32,28,27,35,38
Montana : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MT-99.A,65,63,71,62,72,94,111,111,95,97,--,--,5,13,21,20,21,21,20,21,21,19,20,17,21
Montana : other biomass,thousand megawatthours,ELEC.GEN.WAS-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,12,9,8,18,17
Montana : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana : other,thousand megawatthours,ELEC.GEN.OTH-MT-99.A,--,--,--,--,--,--,--,111,110,281,333,341,332,265,303,327,332,305,287,231,283,272,224,256,261
Montana : all solar,thousand megawatthours,ELEC.GEN.TSN-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,11,8,11,29,54,54,67,76,85,316,473,496
Montana : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,11,8,11,15,20,24,34,43,53,76,107,148
Montana : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,34,29,33,33,32,240,366,348
Montana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,34,29,33,33,32,240,366,348
Montana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nevada,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NV-99.A,33876,32089,33195,37667,40214,31860,32670,35090,37705,35146,31936,35173,36444,36001,39047,39787,38201,39640,39890,40425,41755,42592,42164,45528,45040
Nevada : coal,thousand megawatthours,ELEC.GEN.COW-NV-99.A,17737,16413,17086,18257,18384,7254,7091,7812,7540,6997,5407,4079,5255,6548,2657,2167,1866,2485,2735,1953,2752,2735,2060,2323,2589
Nevada : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NV-99.A,912,25,17,96,21,17,11,14,16,11,14,19,19,15,16,11,9,10,12,6,8,9,8,6,7
Nevada : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nevada : natural gas,thousand megawatthours,ELEC.GEN.NG-NV-99.A,11514,12211,13253,16381,18836,21184,22263,23972,25878,23688,21841,25647,24767,22961,29000,28922,26626,26689,25775,26801,26130,24844,24599,24999,22866
Nevada : other gases,thousand megawatthours,ELEC.GEN.OOG-NV-99.A,--,45,17,21,8,4,4,2,2,6,7,7,6,5,6,1,0,0,0,0,0,0,0,0,0
Nevada : nuclear,thousand megawatthours,ELEC.GEN.NUC-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nevada : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NV-99.A,2514,2268,1757,1615,1702,2058,2003,1751,2461,2157,2191,2440,2682,2389,2264,1789,1813,1881,2242,1923,1944,1686,1319,1606,1885
Nevada : other renewables,thousand megawatthours,ELEC.GEN.AOR-NV-99.A,1200,1127,1066,1298,1263,1344,1297,1539,1808,2287,2437,2969,3690,4067,5103,6877,7857,8546,9103,9715,10893,13311,14192,16712,17919
Nevada : wind,thousand megawatthours,ELEC.GEN.WND-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,129,251,300,310,344,361,312,329,325,340,316,291,319,351
Nevada : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NV-99.A,--,--,--,--,--,--,44,156,174,217,291,473,745,1014,1657,3124,4146,4719,4811,5535,6585,9030,9696,12455,13640
Nevada : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NV-99.A,--,--,--,--,--,--,3,33,54,84,163,344,633,897,1548,2880,3986,4413,4650,5427,6415,8837,9525,12210,13492
Nevada : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NV-99.A,--,--,--,--,--,--,41,123,121,133,128,129,113,116,109,244,160,306,160,107,170,192,172,245,148
Nevada : geothermal,thousand megawatthours,ELEC.GEN.GEO-NV-99.A,1200,1127,1066,1298,1263,1344,1253,1383,1633,2070,2146,2347,2670,2729,3111,3353,3292,3462,3909,3801,3917,3917,4150,3886,3875
Nevada : biomass,thousand megawatthours,ELEC.GEN.BIO-NV-99.A,--,--,--,--,--,--,--,--,1,0,0,19,24,25,26,55,58,53,54,54,50,49,54,52,54
Nevada : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NV-99.A,--,--,--,--,--,--,--,--,1,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--
Nevada : other biomass,thousand megawatthours,ELEC.GEN.WAS-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,19,24,25,26,55,58,53,54,54,50,49,54,52,54
Nevada : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nevada : other,thousand megawatthours,ELEC.GEN.OTH-NV-99.A,--,--,--,--,--,--,--,--,--,0,38,12,25,15,1,21,32,29,22,26,27,6,-13,-118,-225
Nevada : all solar,thousand megawatthours,ELEC.GEN.TSN-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1117,1844,3496,4558,5215,5491,6407,7656,10415,11381,14497,15911
Nevada : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,104,186,372,412,496,680,872,1071,1385,1685,2042,2272
Nevada : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NV-99.A,--,--,--,--,--,--,44,156,174,217,291,473,745,1014,1657,3124,4146,4719,4811,5535,6585,9030,9696,12455,13640
Nevada : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NV-99.A,--,--,--,--,--,--,3,33,54,84,163,344,633,897,1548,2880,3986,4413,4650,5427,6415,8837,9525,12210,13492
Nevada : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NV-99.A,--,--,--,--,--,--,41,123,121,133,128,129,113,116,109,244,160,306,160,107,170,192,172,245,148
New Mexico,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NM-99.A,33612,30662,32736,32940,35136,37266,35985,37010,39674,36252,38181,36636,35871,32306,32701,32912,33597,32674,35175,34076,35192,40889,39269,39697,39167
New Mexico : coal,thousand megawatthours,ELEC.GEN.COW-NM-99.A,28402,26903,28813,29264,29947,29859,27604,27014,29117,25618,27141,24994,24145,20356,20440,18365,18414,13402,14692,12788,12536,13292,7372,8432,8182
New Mexico : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NM-99.A,66,33,51,31,37,41,44,53,45,50,38,46,58,63,63,52,41,21,184,33,33,19,1,1,NM
New Mexico : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico : natural gas,thousand megawatthours,ELEC.GEN.NG-NM-99.A,4887,3442,3519,2993,4187,5890,6660,7966,8661,8512,8566,8799,8975,8976,9365,9958,9132,11628,11803,12002,10093,10978,14231,11648,10507
New Mexico : other gases,thousand megawatthours,ELEC.GEN.OOG-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico : nuclear,thousand megawatthours,ELEC.GEN.NUC-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NM-99.A,237,265,171,139,165,198,268,312,271,217,195,223,92,98,99,148,193,150,158,203,123,121,108,153,185
New Mexico : other renewables,thousand megawatthours,ELEC.GEN.AOR-NM-99.A,19,19,183,513,799,1277,1409,1662,1580,1855,2242,2574,2600,2813,2734,4389,5818,7474,8339,9051,12407,16480,17576,19474,20393
New Mexico : wind,thousand megawatthours,ELEC.GEN.WND-NM-99.A,--,--,183,513,795,1255,1393,1643,1547,1832,2104,2226,2193,2275,2090,3605,4595,6092,6892,7224,10581,14435,14914,15136,14215
New Mexico : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NM-99.A,--,--,--,--,--,--,--,--,--,9,128,334,388,515,615,752,1193,1349,1366,1749,1750,1981,2613,4287,6104
New Mexico : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NM-99.A,--,--,--,--,--,--,--,--,--,9,128,334,388,515,615,752,1193,1349,1366,1749,1750,1981,2613,4287,6104
New Mexico : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico : geothermal,thousand megawatthours,ELEC.GEN.GEO-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,9,10,14,13,13,58,53,51,47,36,26,58
New Mexico : biomass,thousand megawatthours,ELEC.GEN.BIO-NM-99.A,19,19,0,0,5,22,16,19,34,14,9,14,19,14,20,18,18,21,23,25,26,17,13,25,16
New Mexico : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico : other biomass,thousand megawatthours,ELEC.GEN.WAS-NM-99.A,19,19,0,0,5,22,16,19,34,14,9,14,19,14,20,18,18,21,23,25,26,17,13,25,16
New Mexico : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico : other,thousand megawatthours,ELEC.GEN.OTH-NM-99.A,--,--,--,--,--,--,--,3,--,--,--,0,1,1,1,0,-1,-1,-1,-1,0,0,-19,-10,-100
New Mexico : all solar,thousand megawatthours,ELEC.GEN.TSN-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,635,757,909,1397,1599,1667,2114,2212,2566,3314,5087,6944
New Mexico : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,120,142,157,204,250,301,365,462,586,701,800,841
New Mexico : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NM-99.A,--,--,--,--,--,--,--,--,--,9,128,334,388,515,615,752,1193,1349,1366,1749,1750,1981,2613,4287,6104
New Mexico : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NM-99.A,--,--,--,--,--,--,--,--,--,9,128,334,388,515,615,752,1193,1349,1366,1749,1750,1981,2613,4287,6104
New Mexico : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Utah : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-UT-99.A,35854,36608,38024,38212,38165,41263,45373,46579,43543,42249,40836,39403,42517,43785,41949,38134,37412,39375,39117,37087,42566,39386,33497,35134,37445
Utah : coal,thousand megawatthours,ELEC.GEN.COW-UT-99.A,33679,34488,35979,36618,35970,36856,37171,38020,35526,34057,33138,30799,34285,33377,31656,25939,26390,25912,25241,22806,26376,22390,15600,15967,18007
Utah : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-UT-99.A,58,54,33,33,41,62,39,44,36,50,54,40,26,24,20,32,38,37,40,40,38,31,29,33,31
Utah : petroleum coke,thousand megawatthours,ELEC.GEN.PC-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah : natural gas,thousand megawatthours,ELEC.GEN.NG-UT-99.A,1446,1380,1383,910,1178,3389,7424,7366,6444,6455,5256,6580,6606,8376,8218,8691,5871,8724,9369,9460,10686,11107,11834,11640,11523
Utah : other gases,thousand megawatthours,ELEC.GEN.OOG-UT-99.A,--,0,0,0,0,0,0,36,28,36,33,4,2,0,8,54,16,7,17,7,5,3,3,1,2
Utah : nuclear,thousand megawatthours,ELEC.GEN.NUC-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-UT-99.A,508,458,421,450,784,747,539,668,835,696,1230,748,505,633,769,760,1294,927,875,817,494,595,769,759,828
Utah : other renewables,thousand megawatthours,ELEC.GEN.AOR-UT-99.A,158,224,204,199,189,205,195,302,487,781,961,1100,932,1256,1172,2445,3628,3543,3386,3828,4805,5114,5163,6581,6894
Utah : wind,thousand megawatthours,ELEC.GEN.WND-UT-99.A,--,--,--,--,--,--,--,24,160,448,573,704,540,660,626,822,858,795,819,803,825,723,683,748,799
Utah : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,2,2,2,32,1054,2211,2224,2186,2571,3479,3853,3929,5311,5565
Utah : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,2,2,2,32,1054,2211,2224,2186,2571,3479,3853,3929,5311,5565
Utah : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--
Utah : geothermal,thousand megawatthours,ELEC.GEN.GEO-UT-99.A,153,218,198,195,185,191,164,254,279,277,330,335,319,522,430,485,481,446,310,377,420,463,458,451,468
Utah : biomass,thousand megawatthours,ELEC.GEN.BIO-UT-99.A,5,6,5,4,4,15,31,24,48,56,58,60,71,73,85,84,78,79,71,78,81,74,92,70,61
Utah : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah : other biomass,thousand megawatthours,ELEC.GEN.WAS-UT-99.A,5,6,5,4,4,15,31,24,48,56,58,60,71,73,85,84,78,79,71,78,81,74,92,70,61
Utah : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah : other,thousand megawatthours,ELEC.GEN.OTH-UT-99.A,4,5,4,3,3,5,5,143,187,174,165,133,161,118,106,213,175,225,189,130,162,146,98,153,160
Utah : all solar,thousand megawatthours,ELEC.GEN.TSN-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,40,99,1203,2500,2618,2646,3117,4137,4629,4835,6306,6670
Utah : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,37,67,150,289,394,460,546,657,776,906,995,1105
Utah : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,2,2,2,32,1054,2211,2224,2186,2571,3479,3853,3929,5311,5565
Utah : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,2,2,2,32,1054,2211,2224,2186,2571,3479,3853,3929,5311,5565
Utah : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--
Wyoming,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-WY-99.A,44777,43784,43627,44808,45567,45400,45633,46500,46029,48119,47638,49589,52483,49696,48967,46657,46742,46112,42146,42011,43461,46347,43181,40709,46225
Wyoming : coal,thousand megawatthours,ELEC.GEN.COW-WY-99.A,42789,41923,42341,43346,43346,42892,43127,43808,41954,42987,40961,43412,46437,43409,43091,40027,40069,39679,35376,33359,32038,33518,30844,24382,27024
Wyoming : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-WY-99.A,36,40,45,46,42,46,47,44,50,56,55,52,39,45,45,56,44,40,44,45,60,53,44,46,53
Wyoming : petroleum coke,thousand megawatthours,ELEC.GEN.PC-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : natural gas,thousand megawatthours,ELEC.GEN.NG-WY-99.A,592,713,280,87,325,501,594,495,488,459,459,513,512,557,722,788,779,896,1029,1374,1501,1661,2129,5426,4595
Wyoming : other gases,thousand megawatthours,ELEC.GEN.OOG-WY-99.A,8,--,--,13,264,310,312,289,284,279,265,282,281,337,405,358,360,378,286,391,360,329,352,324,365
Wyoming : nuclear,thousand megawatthours,ELEC.GEN.NUC-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-WY-99.A,879,584,594,593,808,843,729,835,967,1024,1224,893,711,869,868,973,1124,976,992,1086,790,745,917,1017,1082
Wyoming : other renewables,thousand megawatthours,ELEC.GEN.AOR-WY-99.A,365,447,366,617,717,759,755,963,2226,3247,4612,4369,4433,4406,3757,4389,4321,4058,4343,5678,8627,9966,8810,9425,13022
Wyoming : wind,thousand megawatthours,ELEC.GEN.WND-WY-99.A,365,447,366,617,717,759,755,963,2226,3247,4612,4369,4433,4406,3757,4389,4321,4057,4163,5513,8448,9780,8637,9002,12526
Wyoming : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,180,165,179,186,174,423,496
Wyoming : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,180,165,179,186,174,423,496
Wyoming : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : geothermal,thousand megawatthours,ELEC.GEN.GEO-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
